city,country,year,avg_temp
Barcelona,Spain,1743,13.81
Barcelona,Spain,1744,16.98
Barcelona,Spain,1745,10.78
Barcelona,Spain,1746,
Barcelona,Spain,1747,
Barcelona,Spain,1748,
Barcelona,Spain,1749,
Barcelona,Spain,1750,16.52
Barcelona,Spain,1751,16.78
Barcelona,Spain,1752,13.09
Barcelona,Spain,1753,16.17
Barcelona,Spain,1754,16.09
Barcelona,Spain,1755,15.80
Barcelona,Spain,1756,16.11
Barcelona,Spain,1757,15.88
Barcelona,Spain,1758,15.04
Barcelona,Spain,1759,16.19
Barcelona,Spain,1760,15.91
Barcelona,Spain,1761,16.25
Barcelona,Spain,1762,16.13
Barcelona,Spain,1763,15.65
Barcelona,Spain,1764,16.21
Barcelona,Spain,1765,16.19
Barcelona,Spain,1766,16.06
Barcelona,Spain,1767,15.97
Barcelona,Spain,1768,15.49
Barcelona,Spain,1769,15.94
Barcelona,Spain,1770,15.80
Barcelona,Spain,1771,16.30
Barcelona,Spain,1772,17.21
Barcelona,Spain,1773,15.84
Barcelona,Spain,1774,16.33
Barcelona,Spain,1775,16.55
Barcelona,Spain,1776,16.10
Barcelona,Spain,1777,15.87
Barcelona,Spain,1778,16.38
Barcelona,Spain,1779,16.55
Barcelona,Spain,1780,16.78
Barcelona,Spain,1781,16.65
Barcelona,Spain,1782,15.55
Barcelona,Spain,1783,16.26
Barcelona,Spain,1784,15.83
Barcelona,Spain,1785,15.68
Barcelona,Spain,1786,16.03
Barcelona,Spain,1787,16.25
Barcelona,Spain,1788,16.67
Barcelona,Spain,1789,15.46
Barcelona,Spain,1790,16.36
Barcelona,Spain,1791,16.41
Barcelona,Spain,1792,16.22
Barcelona,Spain,1793,16.15
Barcelona,Spain,1794,16.28
Barcelona,Spain,1795,16.10
Barcelona,Spain,1796,16.07
Barcelona,Spain,1797,16.02
Barcelona,Spain,1798,16.19
Barcelona,Spain,1799,15.63
Barcelona,Spain,1800,16.63
Barcelona,Spain,1801,16.49
Barcelona,Spain,1802,16.72
Barcelona,Spain,1803,16.26
Barcelona,Spain,1804,16.71
Barcelona,Spain,1805,15.44
Barcelona,Spain,1806,16.40
Barcelona,Spain,1807,16.01
Barcelona,Spain,1808,14.96
Barcelona,Spain,1809,15.41
Barcelona,Spain,1810,15.40
Barcelona,Spain,1811,16.02
Barcelona,Spain,1812,15.00
Barcelona,Spain,1813,15.39
Barcelona,Spain,1814,14.86
Barcelona,Spain,1815,15.64
Barcelona,Spain,1816,14.81
Barcelona,Spain,1817,15.96
Barcelona,Spain,1818,16.29
Barcelona,Spain,1819,15.89
Barcelona,Spain,1820,15.73
Barcelona,Spain,1821,16.17
Barcelona,Spain,1822,16.70
Barcelona,Spain,1823,15.71
Barcelona,Spain,1824,16.05
Barcelona,Spain,1825,16.33
Barcelona,Spain,1826,15.95
Barcelona,Spain,1827,15.86
Barcelona,Spain,1828,16.53
Barcelona,Spain,1829,15.30
Barcelona,Spain,1830,15.97
Barcelona,Spain,1831,16.23
Barcelona,Spain,1832,15.92
Barcelona,Spain,1833,15.83
Barcelona,Spain,1834,16.68
Barcelona,Spain,1835,15.43
Barcelona,Spain,1836,15.50
Barcelona,Spain,1837,15.45
Barcelona,Spain,1838,15.86
Barcelona,Spain,1839,15.93
Barcelona,Spain,1840,15.77
Barcelona,Spain,1841,16.07
Barcelona,Spain,1842,15.88
Barcelona,Spain,1843,15.98
Barcelona,Spain,1844,15.95
Barcelona,Spain,1845,15.70
Barcelona,Spain,1846,16.64
Barcelona,Spain,1847,15.84
Barcelona,Spain,1848,15.66
Barcelona,Spain,1849,16.04
Barcelona,Spain,1850,15.65
Barcelona,Spain,1851,15.37
Barcelona,Spain,1852,16.39
Barcelona,Spain,1853,15.23
Barcelona,Spain,1854,15.62
Barcelona,Spain,1855,15.35
Barcelona,Spain,1856,16.21
Barcelona,Spain,1857,15.82
Barcelona,Spain,1858,16.20
Barcelona,Spain,1859,16.08
Barcelona,Spain,1860,15.01
Barcelona,Spain,1861,15.91
Barcelona,Spain,1862,16.41
Barcelona,Spain,1863,16.02
Barcelona,Spain,1864,15.97
Barcelona,Spain,1865,16.20
Barcelona,Spain,1866,16.53
Barcelona,Spain,1867,16.38
Barcelona,Spain,1868,16.30
Barcelona,Spain,1869,16.00
Barcelona,Spain,1870,15.90
Barcelona,Spain,1871,15.46
Barcelona,Spain,1872,15.93
Barcelona,Spain,1873,15.87
Barcelona,Spain,1874,15.87
Barcelona,Spain,1875,15.92
Barcelona,Spain,1876,16.19
Barcelona,Spain,1877,16.22
Barcelona,Spain,1878,16.22
Barcelona,Spain,1879,15.46
Barcelona,Spain,1880,16.25
Barcelona,Spain,1881,16.47
Barcelona,Spain,1882,16.29
Barcelona,Spain,1883,15.47
Barcelona,Spain,1884,15.65
Barcelona,Spain,1885,15.54
Barcelona,Spain,1886,15.51
Barcelona,Spain,1887,14.90
Barcelona,Spain,1888,15.24
Barcelona,Spain,1889,15.28
Barcelona,Spain,1890,15.14
Barcelona,Spain,1891,15.52
Barcelona,Spain,1892,15.97
Barcelona,Spain,1893,16.27
Barcelona,Spain,1894,15.83
Barcelona,Spain,1895,16.31
Barcelona,Spain,1896,15.42
Barcelona,Spain,1897,16.64
Barcelona,Spain,1898,16.16
Barcelona,Spain,1899,16.73
Barcelona,Spain,1900,16.24
Barcelona,Spain,1901,15.51
Barcelona,Spain,1902,15.99
Barcelona,Spain,1903,15.65
Barcelona,Spain,1904,16.40
Barcelona,Spain,1905,15.75
Barcelona,Spain,1906,15.76
Barcelona,Spain,1907,15.83
Barcelona,Spain,1908,16.05
Barcelona,Spain,1909,15.32
Barcelona,Spain,1910,15.62
Barcelona,Spain,1911,16.30
Barcelona,Spain,1912,15.80
Barcelona,Spain,1913,16.32
Barcelona,Spain,1914,15.81
Barcelona,Spain,1915,15.83
Barcelona,Spain,1916,15.97
Barcelona,Spain,1917,15.22
Barcelona,Spain,1918,15.41
Barcelona,Spain,1919,15.30
Barcelona,Spain,1920,16.28
Barcelona,Spain,1921,16.28
Barcelona,Spain,1922,15.94
Barcelona,Spain,1923,16.03
Barcelona,Spain,1924,16.15
Barcelona,Spain,1925,15.49
Barcelona,Spain,1926,16.61
Barcelona,Spain,1927,16.57
Barcelona,Spain,1928,16.74
Barcelona,Spain,1929,16.18
Barcelona,Spain,1930,16.50
Barcelona,Spain,1931,16.15
Barcelona,Spain,1932,15.84
Barcelona,Spain,1933,16.09
Barcelona,Spain,1934,16.37
Barcelona,Spain,1935,16.10
Barcelona,Spain,1936,16.03
Barcelona,Spain,1937,16.91
Barcelona,Spain,1938,16.17
Barcelona,Spain,1939,16.01
Barcelona,Spain,1940,16.01
Barcelona,Spain,1941,15.57
Barcelona,Spain,1942,16.26
Barcelona,Spain,1943,16.88
Barcelona,Spain,1944,16.05
Barcelona,Spain,1945,16.84
Barcelona,Spain,1946,16.19
Barcelona,Spain,1947,17.08
Barcelona,Spain,1948,16.90
Barcelona,Spain,1949,17.18
Barcelona,Spain,1950,16.86
Barcelona,Spain,1951,15.88
Barcelona,Spain,1952,16.66
Barcelona,Spain,1953,16.41
Barcelona,Spain,1954,15.99
Barcelona,Spain,1955,16.72
Barcelona,Spain,1956,15.34
Barcelona,Spain,1957,15.89
Barcelona,Spain,1958,16.50
Barcelona,Spain,1959,16.46
Barcelona,Spain,1960,16.16
Barcelona,Spain,1961,17.04
Barcelona,Spain,1962,16.09
Barcelona,Spain,1963,15.77
Barcelona,Spain,1964,16.54
Barcelona,Spain,1965,16.02
Barcelona,Spain,1966,16.52
Barcelona,Spain,1967,16.54
Barcelona,Spain,1968,16.47
Barcelona,Spain,1969,15.78
Barcelona,Spain,1970,16.35
Barcelona,Spain,1971,16.07
Barcelona,Spain,1972,15.54
Barcelona,Spain,1973,16.10
Barcelona,Spain,1974,15.89
Barcelona,Spain,1975,16.02
Barcelona,Spain,1976,15.98
Barcelona,Spain,1977,16.07
Barcelona,Spain,1978,16.05
Barcelona,Spain,1979,16.36
Barcelona,Spain,1980,15.86
Barcelona,Spain,1981,16.56
Barcelona,Spain,1982,16.95
Barcelona,Spain,1983,16.83
Barcelona,Spain,1984,15.90
Barcelona,Spain,1985,16.45
Barcelona,Spain,1986,16.61
Barcelona,Spain,1987,16.80
Barcelona,Spain,1988,17.00
Barcelona,Spain,1989,17.43
Barcelona,Spain,1990,17.30
Barcelona,Spain,1991,16.37
Barcelona,Spain,1992,16.35
Barcelona,Spain,1993,16.28
Barcelona,Spain,1994,17.51
Barcelona,Spain,1995,17.33
Barcelona,Spain,1996,16.72
Barcelona,Spain,1997,17.66
Barcelona,Spain,1998,17.15
Barcelona,Spain,1999,17.14
Barcelona,Spain,2000,17.15
Barcelona,Spain,2001,17.27
Barcelona,Spain,2002,17.16
Barcelona,Spain,2003,17.73
Barcelona,Spain,2004,17.12
Barcelona,Spain,2005,16.69
Barcelona,Spain,2006,17.81
Barcelona,Spain,2007,17.24
Barcelona,Spain,2008,16.92
Barcelona,Spain,2009,17.45
Barcelona,Spain,2010,16.51
Barcelona,Spain,2011,17.90
Barcelona,Spain,2012,17.51
Barcelona,Spain,2013,17.00
